"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.104215289E0,6.137738228E-1,-4.402673244E-1,-1.153288364E0,1.378632538E0
2.112149859E0,5.779721141E-1,-4.145617485E-1,-1.077588081E0,1.291165861E0
2.120175982E0,5.869497061E-1,-4.193100929E-1,-9.901809692E-1,1.225067044E0
2.128141070E0,6.846887469E-1,-4.167706966E-1,-9.196138382E-1,1.219912335E0
2.136167193E0,9.106749296E-1,-4.028794765E-1,-8.057842255E-1,1.280987478E0
2.144162798E0,1.105276465E0,-2.946379185E-1,-6.710042953E-1,1.326157733E0
2.152127886E0,1.111787796E0,-2.102184296E-1,-5.593986511E-1,1.262216599E0
2.160154009E0,9.642127156E-1,-1.527500153E-1,-3.748512268E-1,1.045730448E0
2.168119097E0,7.554677129E-1,-1.156067848E-1,-1.477308273E-1,7.784091413E-1
2.176114703E0,6.639092565E-1,-7.034063339E-2,2.516365051E-2,6.680991804E-1
2.184079791E0,6.510827541E-1,3.650188446E-3,1.152105331E-1,6.612076403E-1
2.192105914E0,7.012100816E-1,4.127836227E-2,1.297740936E-1,7.143114146E-1
2.200132037E0,7.028384805E-1,2.590370178E-2,7.360458374E-2,7.071566772E-1
2.208127642E0,7.000598907E-1,3.665208817E-3,-3.678607941E-2,7.010353058E-1
2.216062212E0,5.236943364E-1,2.217936516E-2,-1.514196396E-1,5.455965446E-1
2.224057818E0,3.935497105E-1,5.627775192E-2,-1.582107544E-1,4.278775559E-1
2.232053423E0,3.475941718E-1,1.008694172E-1,-1.833381653E-1,4.057206310E-1
2.240049029E0,2.552029788E-1,1.550917625E-1,-2.135324478E-1,3.671213988E-1
2.247983599E0,2.097131312E-1,2.077643871E-1,-3.021183014E-1,4.223992258E-1
2.256009722E0,1.342202425E-1,2.088880539E-1,-2.814874649E-1,3.753458212E-1
2.264005328E0,1.016058922E-1,1.816029549E-1,-2.516450882E-1,3.265404124E-1
2.272000933E0,1.177048683E-1,1.722018719E-1,-2.056045532E-1,2.928841973E-1
2.279966021E0,1.508181691E-1,1.552839279E-1,-8.612823486E-2,2.329748726E-1
2.287992144E0,2.131848931E-1,1.456115246E-1,1.282901764E-1,2.882861150E-1
2.295987750E0,2.320597768E-1,7.134604454E-2,3.575696945E-1,4.322014397E-1
2.303983355E0,2.131471038E-1,-2.563714981E-3,5.560188293E-1,5.954789661E-1
2.311917925E0,2.486627698E-1,-8.194184303E-2,7.899112701E-1,8.321703272E-1
2.319944048E0,2.969421744E-1,-1.722357273E-1,9.813785553E-1,1.039684409E0
2.327909136E0,3.515316844E-1,-2.410562038E-1,1.100871086E0,1.180508266E0
2.335874224E0,3.862401247E-1,-3.334133625E-1,1.196236610E0,1.300510643E0
2.343869830E0,4.935120940E-1,-4.113471508E-1,1.315230370E0,1.463759403E0
2.351834917E0,5.382337570E-1,-5.145201683E-1,1.398712158E0,1.584557441E0
2.359861041E0,4.988650084E-1,-7.389612198E-1,1.501855850E0,1.746568343E0
2.367826128E0,4.882269502E-1,-9.507784843E-1,1.682184219E0,1.993010042E0
2.375852251E0,5.843870044E-1,-9.883933067E-1,1.901805878E0,2.221552407E0
2.383817339E0,7.829890251E-1,-6.738297939E-1,1.780528069E0,2.058494257E0
2.391812945E0,8.689178228E-1,-3.397731781E-1,1.337491035E0,1.630750215E0
2.399808550E0,9.013930559E-1,-1.070449352E-1,8.356256485E-1,1.233790211E0
2.407743121E0,8.661165237E-1,-1.158411503E-1,3.118209839E-1,9.277981089E-1
2.415769244E0,8.207494020E-1,-3.269836903E-1,-2.424888611E-1,9.161597909E-1
2.423734332E0,6.747031212E-1,-5.831632614E-1,-5.848598480E-1,1.066473034E0
